numero;angel;imagen;atributo;planeta;coro angelical;aroma;talisman;ofrenda;don ser de luz;hora canalizacion;se canaliza para;color;Columna1;por fecha de nac;mensaje
37;Aniel;;Dios Virtuoso;Jupiter;Dominaciones;Azahar y Limon;Limones;Cuarzo Rosado y Verde,Velas, incienso, Amatistas;Perseverancia y Salvacion;de 12:00 p.m a 12:20 p.m;Para impulsarnos a resolver situaciones difíciles. promover la armonía entre personas diferentes. revelarnos secretos sobre la naturaleza. tener inspiración en conferencias y meditaciones. ayudarnos a que nos expresemos más fácilmente;verde;Aniel;18 al 22 de septiembre;Se le relaciona con el dinero y el intercambio.
38;Haamiah;;Dios Esperanza de Todos;Jupiter;Dominaciones;Azahar y Limon;Limones;Cuarzo Rosado y Verde,Velas, incienso, Amatistas;Perseverancia y Salvacion;de 12:20 p.m a 12:40 p.m;Protegernos contra las armas de fuego. descubrir la verdad y proteger las obras espirituales;Plata;Haamiah;23 al 27 de septiembre;Es el ángel de rituales, ceremonias y de los días mágicos.
39;Rehael;;Dios que acoge a los Pecadores;Jupiter;Dominaciones;Azahar y Limon;Limones;Cuarzo Rosado y Verde,Velas, incienso, Amatistas;Perseverancia y Salvacion;de 12:40 p.m a 1:00 p.m;Mantener la salud y la longevidad. protegernos contra la maldad. que podamos ver cuando actuamos erróneamente. influenciar en el amor paternal y filial y en la obediencia de los más pequeños con respecto a los mayores;Violeta;Rehael;28 septiembre al 2 de octubre;Ayuda a entender las cosas con mayor profundidad.
40;Yeiazel;;Dios que da Alegría;Jupiter;Dominaciones;Azahar y Limon;Limones;Cuarzo Rosado y Verde,Velas, incienso, Amatistas;Perseverancia y Salvacion;de 1:00 p.m a 1:20 p.m;Liberarnos de nuestra prisión interna. tener consuelo ante las adversidades. liberarnos de enemigos y vicios. liberarnos de la depresión y el pánico;Verde;Yeiazel;3 al 7 de octubre;Trae consuelo a nuestras vidas, nos enseña a apreciar los tiempos de renovación
41;Hahahhel;;Dios en 3 personas (Dios Manifestado);Sol;Principados;Mirra;Cuarzos;Dulces, Agua Marina;Control del Medio Ambiente;de 1:20 p.m a 1:40 p.m;Tener firmeza en nuestra evolución. seguir la luz del amor. retornar a la fe de dios. protegernos contra las calamidades;Azul;Hahahhel;8 al 12 de octubre;Nos ayuda a ser fieles en nuestra misión en la Tierra y despertando nuestra vocación espiritual.
42;Mikael;;Quien como Dios;Sol;Principados;Mirra;Cuarzos;Dulces, Agua Marina;Control del Medio Ambiente;de 1:40 p.m a 2:00 p.m;Tener seguridad en viajes. obtener obediencia o disciplina de los subalternos. extraer negatividad de personas, lugares o cosas. poner en evidencia todo lo oscuro;Azul;Mikael;13 al 17 de octubre;Ayuda en las organizaciones, así como en la enseñanza del bien y el mal.
43;Veuliah;;Dios Rey Dominante;Sol;Principados;Mirra;Cuarzos;Dulces, Agua Marina;Control del Medio Ambiente;de 2:00 p.m a 2:20 p.m;Tener paz y prosperidad interior. destruir nuestros enemigos interiores, como por ejemplo los miedos. liberar de la esclavitud y de los vicios. tener éxito en causas justas. obtener favores de personas importantes. protección y prosperidad en empresas;Violeta;Veuliah;18 al 22 de octubre;Es el ángel de la prosperidad, abundancia y riqueza para tu vida.
44;Yelahiah;;Dios Eterno;Sol;Principados;Mirra;Cuarzos;Dulces, Agua Marina;Control del Medio Ambiente;de 2:20 p.m a 2:40 p.m;Tener coraje para enfrentar las adversidades. proteger a magistrados para vencer en los procesos judiciales. protegernos contra armas blancas o de fuego;verde;Yelahiah;23 al 28 de octubre;Es un guerrero de luz, por lo que es protector y guía celestial.
45;Sealiah;;Dios Generador de todas las cosas;Sol;Principados;Mirra;Cuarzos;Dulces, Agua Marina;Control del Medio Ambiente;de 2:40 p.m a 3:00 p.m;Tener buena salud y curarse de alguna enfermedad. exaltar a los humildes, separándolos de los orgullosos, es decir, cuando nos sentimos oprimidos por otro. ayudarnos en el aprendizaje de artes y ciencias para el bienestar de los hombres, plantas y animales;Dorado;Sealiah;29 de octubre al 2 de noviembre;Responsable de la motivación, la voluntariedad, la pureza y la intención.
46;Ariel;;Dios es mi Luz;Sol;Principados;Mirra;Cuarzos;Dulces, Agua Marina;Control del Medio Ambiente;de 3:00 p.m a 3:20 p.m;Tener revelaciones en los sueños. tener nuevas ideas que iluminen los nuevos caminos. agradecer a Dios los bienes que nos envía;Rosado;Ariel;3 al  7 de noviembre;Favorece nuestra clarividencia.
47;Asaliah;;Dios que muestra la Verdad;Sol;Principados;Mirra;Cuarzos;Dulces, Agua Marina;Control del Medio Ambiente;de 3:20 p.m a 3:40 p.m;Que nos conceda protección contra escándalos e inmoralidades. que la verdad brille en situaciones ocultas y nos guíe hacia un comportamiento adecuado. comprender las cosas divinas representadas en la naturaleza;Verde;Asaliah;8 al 12 de noviembre;Te ayuda a descubrir la verdad que se oculta en las pequeñas cosas de la vida.
48;Mihael;;Dios padre que Socorre;Sol;Principados;Mirra;Cuarzos;Dulces, Agua Marina;Control del Medio Ambiente;de 3:40 p.m a 4:00 p.m;Tener paz y armonía en la pareja. tener amistad y felicidad conyugal. invocar el socorro de dios. abrir la percepción;Magenta;Mihael;13 al 17 de noviembre;Está encargado de traer armonía a las relaciones.
49;Vehuel;;Dios Grandioso;Mercurio;Arcangeles;Frutas;Piedras de Colores;Flores de estacion, Lapizlazuli;Control sobre las criaturas de la tierra;de 4:00 p.m a 4:20 p.m;Traer compresión mental. tener consuelo en las contrariedades. tener protección divina en la búsqueda de valores morales. impulsarnos al desarrollo espiritual;Gris;Vehuel;18 al 22 de noviembre;Es el guía de todos lo que quieren conseguir la iluminación espiritual.
50;Daniel;;Dios el Justo;Mercurio;Arcangeles;Frutas;Piedras de Colores;Flores de estacion, Lapizlazuli;Control sobre las criaturas de la tierra;de 4:20 p.m a 4:40 p.m;Obtener misericordia divina. darnos remedio a todos los males. hacer renacer en nosotros nuevas esperanzas y alegría de vivir. ver el camino cuando estamos indecisos;Rosado;Daniel;23 al 27 de noviembre;Es quien nos ayuda a desarrollar nuestra capacidad de comunicación.
51;Hahasiah;;Dios Oculto;Mercurio;Arcangeles;Frutas;Piedras de Colores;Flores de estacion, Lapizlazuli;Control sobre las criaturas de la tierra;de 4:40 p.m a 5:00 p.m;Curar enfermedades mentales. auxiliarnos en la revelación de misterios ocultos. elevar nuestra conciencia a Dios;Plata;Hahasiah;28 de noviembre al 2 de diciembre;Sana con la energía cósmica y ayuda a médicos y enfermeras a cumplir con su labor.
52;Imamiah;;Dios por encima de todo;Mercurio;Arcangeles;Frutas;Piedras de Colores;Flores de estacion, Lapizlazuli;Control sobre las criaturas de la tierra;de 5:00 p.m a 5:20 p.m;Abandonar vicios y malas compañías. tener protección en los viajes. liberarnos de nuestras propias obsesiones. influenciar las ganancias monetarias provenientes del trabajo honesto;Plata;Imamiah;3 al 7 de diciembre;Con él podemos sanar y reparar la mayoría de nuestros errores.
53;Nanael;;Dios que hace caer a los orgullosos;Mercurio;Arcangeles;Frutas;Piedras de Colores;Flores de estacion, Lapizlazuli;Control sobre las criaturas de la tierra;de 5:20 p.m a 5:40 p.m;Nuestro rejuvenecimiento físico e intelectual a través de aliviar patrones negativos. tener inspiración y apoyo material para grandes realizaciones;Violeta;Nanael;8 al 12 de diciembre;Es el ángel de la comunicación espiritual en todas sus formas.
54;Nithael;;Dios de los Cielos;Mercurio;Arcangeles;Frutas;Piedras de Colores;Flores de estacion, Lapizlazuli;Control sobre las criaturas de la tierra;de 5:40 p.m a 6:00 p.m;Ayudarnos a conseguir de dios una vida larga. protegernos contra peligros y accidentes. tener estabilidad en el empleo y la conservación de los medios de subsistencia correctos;Amarillo;Nithael;13 al 17 de diciembre;Representa la eterna juventud. Esto se debe a que está vinculado enormemente con el rejuvenecimiento.
55;Mebahiah;;Dios Eterno;Mercurio;Arcangeles;Frutas;Piedras de Colores;Flores de estacion, Lapizlazuli;Control sobre las criaturas de la tierra;de 6:00 p.m a 6:20 p.m;Tener fecundidad. proteger nuestra moral y religión. tener ayuda en cualquier entendimiento en que uno esté;Azul;Mebahiah;18 al 22 de diciembre;Te aporta claridad y consuelo a tu vida.
56;Poyel;;Dios que sostiene el Universo;Mercurio;Arcangeles;Frutas;Piedras de Colores;Flores de estacion, Lapizlazuli;Control sobre las criaturas de la tierra;de 6:20 p.m a 6:40 p.m;Tener fortuna en general. tener fama cuando difundimos grandes filosofías. ayudarnos a vencer demandas;Azul;Poyel;23 al 27 de diciembre;Es el ángel de la fortuna y el apoyo.
57;Nemamiah;;Dios Loable;Venus;Virtudes;Pino y Eucalipto;Plumas;Incienso, Sandalo, Rosas, Cuarzo Rosa;Triunfos y Milagros;de 6:40 p.m a 7:00 p.m;Tener lucidez en los actos de la vida. concedernos prosperidad en todos los sectores. abrir canales para tener sueños proféticos. liberar a personas viciadas, para encaminarlas a una vida saludable. proteger y guiar a todos los que trabajan en causas justas;Rojo;Nemamiah;28 de diciembre al 1 de enero;Es capaz de revelar la causa de tus problemas más profundos.
58;Yeialel;;Dios que escucha los pedidos;Venus;Virtudes;Pino y Eucalipto;Plumas;Incienso, Sandalo, Rosas, Cuarzo Rosa;Triunfos y Milagros;de 7:00 p.m a 7:20 p.m;Sanar la tristeza. ayudar en todo proceso de curación, especialmente los problemas de ojos. proteger a los que trabajan con metales;Rojo;Yeialel;2 al 6 de enero;Te ayuda a desarrollar tus habilidades psíquicas como la clarividencia y lucidez.
59;Harahel;;Dios Conocedor de todas las cosas;Venus;Virtudes;Pino y Eucalipto;Plumas;Incienso, Sandalo, Rosas, Cuarzo Rosa;Triunfos y Milagros;de 7:20 p.m a 7:40 p.m;Atraer la fecundidad a las cosas estériles. encontrar objetos de valor perdidos. ayudarnos al pago de cuentas atrasadas. que los hijos sean amables y obedientes con sus padres. curar problemas en órganos reproductivos, principalmente en los femeninos. favorecer a los trabajadores de la bolsa, archivos, bibliotecas y coleccionistas;Dorado;Harahel;7 al 11 de enero;Su principal objetivo es ayudarte a conseguir que tus sueños se hagan realidad.
60;Mitzrael;;Dios alivio de los oprimidos;Venus;Virtudes;Pino y Eucalipto;Plumas;Incienso, Sandalo, Rosas, Cuarzo Rosa;Triunfos y Milagros;de 7:40 p.m a 8:00 p.m;Curar problemas mentales. solucionar conflictos con uno mismo y con otros. atraer fidelidad de los subalternos. desarrollar talento y virtudes;Dorado;Mitzrael;12 al 16 de enero;Corrige tus errores y te guía para que comprensas la importancia de la obediencia y la autoridad.
61;Umabel;;Dios por encima de todo;Venus;Virtudes;Pino y Eucalipto;Plumas;Incienso, Sandalo, Rosas, Cuarzo Rosa;Triunfos y Milagros;de 8:00 p.m a 8:20 p.m;Vivir una vida según las leyes divinas. hacer recapacitar a aquellos que se apartan de los mandamientos. mantener la armonía entre amigos;Verde;Umabel;17 al 21 de enero; Te brinda una conciencia profunda de la vida, así como proporcionar concentración y comprensión cuando se requiera.
62;Lah - hel;;Dios ser Supremo;Venus;Virtudes;Pino y Eucalipto;Plumas;Incienso, Sandalo, Rosas, Cuarzo Rosa;Triunfos y Milagros;de 8:20 p.m a 8:40 p.m;Obtener sabiduría. poner en evidencia verdades ocultas. favorecer la comprensión y el entendimiento entre cónyuges. abandonar los placeres mundanos por los transcendentales. apaciguar la violencia del mundo;Verde;Lah - hel;22 al 26 de enero;Impulsa tus pensamientos positivos, constructivos y te enseña a disfrutar la soledad y tranquilidad.
63;Anauel;;Dios Infinitamente Bueno;Venus;Virtudes;Pino y Eucalipto;Plumas;Incienso, Sandalo, Rosas, Cuarzo Rosa;Triunfos y Milagros;de 8:40 p.m a 9:00 p.m;Protección contra accidentes. curar enfermedades y mantener buena salud. tener prosperidad en la actividad profesional. ayudarnos a encontrar la verdadera espiritualidad y tener sabiduría;Gris;Anauel;27 de enero al 1 de febrero; Permite que la comunicación y relación con otras personas resulten exitosas.
64;Mehiel;;Dios que da Vida;Venus;Virtudes;Pino y Eucalipto;Plumas;Incienso, Sandalo, Rosas, Cuarzo Rosa;Triunfos y Milagros;de 9:00 p.m a 9:20 p.m;Protección de un comercio. reconfortarnos ante las adversidades. tener inspiración para obras literarias. protegernos contra accidentes de tránsito;Verde;Mehiel;2 al 6 de febrero;Favorece la imaginación, la inteligencia y la comprensión. Es un gran aliado contra las energías y las fuerzas oscuras.
65;Damabiah;;Dios fuente de Sabiduria;Luna;Guardianes;Flores Silvestres, Frutas de estacion e Incienso;Gemas Opacas;Frutas frescas, Agatas, Cuarzo Cristal;Voluntad Divina;de 9:20 p.m a 9:40 p.m;Darnos sabiduría y éxito en los negocios. protegernos en viajes por mar;Plata;Damabiah;7 al 11 de febrero;Es el que entrega amor incondicional a todo aquel que acuda a él.
66;Manakel;;Dios que mantiene las cosas;Luna;Guardianes;Flores Silvestres, Frutas de estacion e Incienso;Gemas Opacas;Frutas frescas, Agatas, Cuarzo Cristal;Voluntad Divina;de 9:40 p.m a 10:00 p.m;Calmar la cólera. proteger el sueño y combatir el insomnio. darnos inspiración para la música y la poesía;Plata;Manakel;12 al 16 de febrero;Elimina miedos a través de la comprensión y transformación.
67;Eyael;;Dios Alegría de los hombres;Luna;Guardianes;Flores Silvestres, Frutas de estacion e Incienso;Gemas Opacas;Frutas frescas, Agatas, Cuarzo Cristal;Voluntad Divina;de 10:00 p.m a 10:20 p.m;Ampliar la consciencia y la percepción. tener consuelo en las adversidades e injusticias. ayudarnos en la preservación de los bienes materiales obtenidos por trabajo. tener concentración en el estudio de filosofía mística y religión. ayudarnos en los cambios emocionales;Violeta;Eyael;17 al 21 de febrero;Te orienta a tomar buenas decisiones y darte el soporte cuando sientas que todo está perdido.
68;Habuhiah;;Dios Generoso;Luna;Guardianes;Flores Silvestres, Frutas de estacion e Incienso;Gemas Opacas;Frutas frescas, Agatas, Cuarzo Cristal;Voluntad Divina;de 10:20 p.m a 10:40 p.m;Tener fertilidad en la tierra. tener fertilidad en las parejas. proteger la salud y tener curación en general;Violeta;Habuhiah;22 al 26 de febrero;Es el patrón de las terapias médicas, así como de los tratamientos espirituales o metafísicos.
69;Rochel;;Dios que todo lo ve;Luna;Guardianes;Flores Silvestres, Frutas de estacion e Incienso;Gemas Opacas;Frutas frescas, Agatas, Cuarzo Cristal;Voluntad Divina;de 10:40 p.m a 11:00 p.m;Abrir la percepción para encontrar objetos perdidos o robados. influir sobre la fama y fortuna de abogados y magistrados;Azul;Rochel;27 de febrero al 3 de marzo;Es el encargado de otorgar a cada persona lo que se merece, es el símbolo de la justicia y lo justo.
70;Jabamiah;;Dios creador de todas las cosas;Luna;Guardianes;Flores Silvestres, Frutas de estacion e Incienso;Gemas Opacas;Frutas frescas, Agatas, Cuarzo Cristal;Voluntad Divina;de 11:00 p.m a 11:20 p.m;Darnos confianza y optimismo. cambiar nuestros hábitos de pensamiento. ayudarnos en la desintoxicación de drogas y alcohol;Azul;Jabamiah;4 al 8 demarzo;Entrega energía curativa a tu vida. Tiene la capacidad de regenerar, sanar, revitalizar y restaurar la armonía.
71;Haiaiel;;Dios nuestro del universo;Luna;Guardianes;Flores Silvestres, Frutas de estacion e Incienso;Gemas Opacas;Frutas frescas, Agatas, Cuarzo Cristal;Voluntad Divina;de 11:20 p.m a 11:40 p.m;Tener coraje y valentía para enfrentar peligros. liberarnos de vínculos con personas que nos quieren oprimir. sentirnos en paz y tener fuerza, valentía, talento y seguridad en todas las actividades;Violeta;Haiaiel;9 al 13 de marzo;Nos brinda protección divina y nos ayuda a tomar decisiones justas y correctas.
72;Mumiah;;Dios fin de todas las cosas;Luna;Guardianes;Flores Silvestres, Frutas de estacion e Incienso;Gemas Opacas;Frutas frescas, Agatas, Cuarzo Cristal;Voluntad Divina;de 11:40 p.m a 12:00 a.m;Proteger a pobres y sufrientes. protegernos contra operaciones mágicas de las cuales no tenemos conocimiento. ayudarnos a tener flexibilidad en lo emocional. ayudarnos a ver nuestras trabas emocionales;Naranja;Mumiah;14 al 19 de marzo;Ayuda a terminar las tareas difíciles y nos regala la energía necesaria para empezar otras nuevas.
